Most common page first head tags


zetaweb=# select count(*), pagefirstheadtag from site_info group by pagefirstheadtag order by count(*) desc limit 500;
  count   |                                        pagefirstheadtag                                         
      663 | 123-reg, the cheapest and easiest way to get a domain name
      657 | Parkování
      657 | Our site is coming soon
      652 | This domain is for sale.
      652 | WELCOME!
      649 | JavaScript required
      648 | Default Page
      645 | All
      643 | Your Internet Address for Life
      635 | More stuff
      632 | This Site is Brand New
      632 | Mission Statement
      627 | The website you were trying to reach is temporarily unavailable.
      626 | Oops!
      626 | Dit domein is geregistreerd, maar heeft geen website.
      625 | Hosted by enavn.dk
      620 | Mission
      598 | Maintenance Mode
      597 | Website Manager
      583 | One.com Webhosting
      581 | FUTURE HOME OF A DOTSTER-HOSTED WEBSITE
      578 | Notoriety: Neutral
      573 | Warning: Suspected Phishing Site Ahead!
      571 | Domain Name Search
      569 | Loading...
      568 | OUR MISSION
      565 | Firebase Hosting Setup Complete
      564 | Sample Page
      555 | Today.com
      542 | Quick Links
      538 | Welcome.
      537 | Domaininformation
      536 | Welcome to Our Practice
      535 | Awesome Site in The Making
      533 | Share
      531 | Welcome To
      527 | Log In
      523 | Sign Up Now! 100% Free
      518 | Shopping Cart
      516 | Tumblr
      508 | Nič tu nie je, zatiaľ...
      508 | Welcome to our website
      507 | Startseite
      506 | Welcome to nginx on EPEL!
      500 | Ici prochainement...
      500 | This domain is just sitting here...
      493 | Quick Search
      492 | Magento Commerce
      490 | WordPress
      490 | Under construction
      486 | A WordPress Site
      485 | This web site has just been created from WebsitePanel  and it is still under construction.
      485 | Domain Does Not Exist
      483 | Features
      479 | Verification of Contact Information
      476 | H-SPHERE
      475 | Bienvenue
      475 | this is a mail-in-a-box
      475 | 网站改版中
      472 | ownCloud
      471 | Websites are FREE at                                                                           +
          |                                                                                                +
          | vistaprint.com/digital-marketing/web
      466 | Hello.
      463 | Site under construction
      462 | .site-header__logo-image { height: 60px; }
      461 | Bienvenidos
      459 | Our Vision
      458 | New .COMs $13.99*
      451 | Welcome...
      451 | IceWarp WebClient
      447 | Domain.com
      446 | iran.sc
      446 | Resources
      445 | This domain name has been suspended
      443 | News & Events
      443 | About me
      442 | FUTURE HOME OF ANOTHER AMAZING WEBSITE POWERED BY EXABYTES
      438 | Careers
      435 | Parkert
      434 | Our Blog
      434 | SUSPENDED
      433 | Post navigation
      431 | Select a default language
      430 | Error 404
      425 | IPOWER
      423 | Page Search
      420 | What's New
      417 | Front Page
      417 | Switch to G Suite by Google
      416 | Open Source Content Management
      416 | Error: 503 - Service Unavailable
      412 | Our services
      411 | PRODUCTS
      410 | about
      409 | Something isn't quite right here ...
      406 | HTTP Test Pagepowered by CentOS-WebPanel.com
      405 | 会员登录
      404 | Kontakt
      403 | Company
      402 | Mon premier blog
      399 | Apache 2 Test Pagepowered by CentOS
      397 | Our Team
      396 | Announcements
      395 | 抱歉！该站点已经被管理员停止运行，请联系管理员了解详情！
      395 | LATEST NEWS
      394 | Announcement
      394 | Hello World
      391 | Popular categories
      390 | Our Company
      389 | Coming soon!
      388 | Our Work
      387 | Latest news
      386 | 403 Error
      383 | This page is currently unavailable
      382 | The project does not exist
      381 | Welcome to your new campaign!
      380 | Domain Unavailable!
      380 | Why Choose Us?
      379 | หน้าแรก
      377 | 驿家域名
      377 | Sidebar
      376 | Launching Soon
      373 | Ever feel you're in the wrong place
      373 | Archives
      372 | Recent News
      372 | Our Clients
      371 | Web Hosting Account
      368 | History
      367 | 无法访问此网站
      363 | slideshow
      363 | Your hosting space is ready...
      363 | Account Login
      362 | Who are we?
      362 | Biography
      362 | 1
      361 | steersearch.com
      358 | Apache Friends
      357 | Video Conferencing
      357 | Built For Designers & Developers
      356 | Sorry we still under construction...
      355 | Website Under Construction
      353 | What We Offer
      353 | 公司简介
      351 | logo
      351 | Solutions
      350 | coming soon
      350 | Coming Soon...
      349 | mozdev.org
      349 | Refund for purchases
      349 | Aktuality
      346 | My Lists
      343 | Site Offline
      341 | Newsletter
      340 | Очаквайте скоро!
      339 | My Website
      338 | Fedora
      338 | Financeflick.com
      337 | Welcome to CentOS
      337 | Welcome to our website.
      336 | Locations
      336 | Untitled
      334 | Please enter the code below to continue to the content
      334 | Featured Listings
      333 | Get in touch
      331 | Coming soon...
      328 | Frequently Asked Questions
      327 | Пусть домен работает
      327 | CONTACT
      326 | Hello World!
      325 | #1 The world's unlimited books & audiobook service. No limits. All in one your book library
      325 | Unavailable
      325 | Title
      325 | WellnessZap.com
      325 | Member Login
      322 | Main
      322 | Index
      322 | Logo
      321 | Dotster
      320 | Error establishing a database connection
      319 | Parallels Plesk Automation
      317 | OUR PRODUCTS
      316 | Welkom
      316 | Videos
      316 | Links
      315 | This domain is for sale!
      315 | Our Partners
      315 | My Library
      315 | Sitemap
      314 | Featured Properties
      314 | MENU
      313 | Calendar
      313 | Get In Touch
      313 | Herzlich willkommen
      312 | Bienvenido
      312 | We're sorry
      311 | My WordPress
      310 | It's missing!
      310 | DomainVIP – Premium Domain Store
      309 | Website is Under Construction
      309 | admin homepage
      306 | Página em construção
      306 | Welcome to Wufoo!
      304 | Articles
      304 | How can we help you?
      302 | Design
      302 | HUGE SALE
      301 | Why Choose Us
      301 | ...
      301 | GitLab Community Edition
      300 | Novinky
      299 | Servicios
      299 | Главная
      299 | Disclaimer
      298 | Live Sex Chat - Amateur Cams and Pornstars
      298 | ​
      298 | MAG Dashboard Login
      296 | This Site Has Been Disabled
      295 | Ooops..
      295 | Vitajte
      293 | FAQ
      293 | 关于我们
      293 | Domain for sale.
      293 | Please select your page
      292 | Powered by Juicer
      292 | Popular Products
      291 | Email Protection
      291 | test
      290 | This website is under construction
      287 | OUR STORY
      285 | This web hosting account has been suspended
      284 | The Blog
      284 | ASP.NET
      283 | Location
      283 | Error
      283 | Domov
      282 | WOW0821240209BLCLJLLLML
      281 | FEATURED PRODUCTS
      280 | Start
      278 | Education
      278 | We're sorry...
      278 | Din webside - alltid tilgjengelig
      277 | Domain For Sale!
      275 | This site is currently unavailable
      274 | Discount Domain Name Services
      273 | Photo Gallery
      271 | New Website Coming Soon
      271 | Posts navigation
      271 | Create and share your forms.
      271 | Welcome to our website!
      269 | Find your perfect .co.uk domain now First year FREE
      269 | Welcome to Our Website
(500 rows)

